REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,,,,,,
Donna Shalala,FL,Congress,Democratic,ABEV3,ABEV3 BZ,BZ,Ambev S.A.,Buy,3/15/2019,8000,Com NPV,16.76,476,17.85,18.91,11.03,,,,,,
Cynthia Axne,IA,Congress,Democratic,JPM,JPM US,US,JP Morgan Chase & Co,Buy,3/13/2019,24001,Com,104.39,228,110.68,115.4,88.05,,,,,,
Donna Shalala,FL,Congress,Democratic,ALLE,ALLE US,US,Allegion Plc,Buy,3/6/2019,8000,Com,89.44,88,100.42,95.33,122.65,,,,,,
Donna Shalala,FL,Congress,Democratic,AOS,AOS US,US,Smith(A.O.)Corp,Buy,3/6/2019,8000,Com,51.87,154,43.16,45.6,41.63,,,,,,
Donna Shalala,FL,Congress,Democratic,AVY,AVY US,US,Avery Dennison Corp,Buy,3/6/2019,32500,Com,107.98,300,107.69,112.66,119.12,,,,,,
Donna Shalala,FL,Congress,Democratic,BKU,BKU US,US,Bankunited Inc,Buy,3/6/2019,8000,Com,35.63,224,34.3,31.03,28.53,,,,,,
Donna Shalala,FL,Congress,Democratic,EDIT,EDIT US,US,Editas Medicine Inc,Buy,3/6/2019,8000,Com,22.63,352,20.83,23.85,25.15,,,,,,
Donna Shalala,FL,Congress,Democratic,ESNT,ESNT US,US,Essent Group Ltd,Buy,3/6/2019,8000,Com,43.62,182,47.4,48.41,46.26,,,,,,
Donna Shalala,FL,Congress,Democratic,FNB,FNB US,US,Fnb Corp pa,Buy,3/6/2019,8000,Com,11.88,672,11.48,10.41,9.92,,,,,,
Donna Shalala,FL,Congress,Democratic,TER,TER US,US,Teradyne Inc,Buy,3/6/2019,8000,Com,39.94,200,44.32,52.21,60.62,,,,,,
