REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,PERCENT_CHANGE_3_MONTH,PERCENT_CHANGE_6_MONTH,PERCENT_CHANGE_12_MONTH
David Roe,TN,Congress,Republican,VFC,VFC US,US,VF Corp,Buy,12/28/2020,8000,Com NPV,85.45,92,78.78,80.17,#N/A,-7.81,-6.18,#N/A
Douglas Lamborn,CO,Congress,Republican,NTAP,NTAP US,US,NetApp Inc,Buy,12/28/2020,24001,Com NPV,65.9,364,72.4,82.46,#N/A,9.86,25.13,#N/A
Garret Graves,LA,Congress,Republican,ABX,ABX CN,CN,Barrick Gold Corp,Buy,12/28/2020,8000,Com NPV,29.36,272,25.37,25.53,#N/A,-13.59,-13.04,#N/A
Kevin Hern,OK,Congress,Republican,WMB,WMB US,US,Williams Companies Inc,Buy,12/28/2020,8000,Com,20.14,396,24.04,26.24,#N/A,19.36,30.29,#N/A
Michael Mccaul,TX,Congress,Republican,NFG,NFG US,US,National Fuel Gas Co,Buy,12/28/2020,16001,Com,41.7,382,50.8,53.21,#N/A,21.82,27.60,#N/A
Brian Mast,FL,Congress,Republican,IPWR,IPWR US,US,Ideal Power Inc,Buy,12/24/2020,32500,Com,9.9,3282,11.86,11.88,#N/A,19.80,20.00,#N/A
Mark Green,TN,Congress,Republican,AMZA,AMZA US,US,ETFis Series Trust I,Buy,12/24/2020,750000,Com,19.48,38500,22.91,29.97,#N/A,17.61,53.85,#N/A
Mark Green,TN,Congress,Republican,NGL,NGL US,US,NGL Energy Partners Lp,Buy,12/24/2020,75000,Stock Unit,2.74,27372,2.16,2.35,#N/A,-21.17,-14.23,#N/A
Michael Mccaul,TX,Congress,Republican,NFG,NFG US,US,National Fuel Gas Co,Buy,12/24/2020,16001,Com,42.14,378,48.8,52.35,#N/A,15.80,24.23,#N/A
Austin Scott,GA,Congress,Republican,F,F US,US,Ford Motor Co,Buy,12/23/2020,8000,Com,8.99,888,12.21,14.78,#N/A,35.82,64.40,#N/A
Austin Scott,GA,Congress,Republican,GE,GE US,US,General Electric Co,Buy,12/23/2020,8000,Com,86.88,92,101.28,105.52,#N/A,16.57,21.45,#N/A
Gilbert Cisneros,CA,Congress,Democratic,BABA,9988 HK,HK,Alibaba Group Holding Ltd,Buy,12/23/2020,8000,DR,256.18,30,237.67,211.06,#N/A,-7.23,-17.61,#N/A
Gilbert Cisneros,CA,Congress,Democratic,ABMD,ABMD US,US,Abiomed Inc,Buy,12/23/2020,8000,Com,304.05,26,298.62,325.09,#N/A,-1.79,6.92,#N/A
Gilbert Cisneros,CA,Congress,Democratic,COST,COST US,US,Costco Wholesale Corp,Buy,12/23/2020,8000,Com,361.89,22,340.34,386.8,#N/A,-5.95,6.88,#N/A
Gilbert Cisneros,CA,Congress,Democratic,CSTL,CSTL US,US,Castle Biosciences Inc,Buy,12/23/2020,8000,Com,72.17,110,65.53,74.88,#N/A,-9.20,3.76,#N/A
Gilbert Cisneros,CA,Congress,Democratic,CVET,CVET US,US,Covetrus Inc,Buy,12/23/2020,8000,Com,31.49,254,31.28,26.34,#N/A,-0.67,-16.35,#N/A
Gilbert Cisneros,CA,Congress,Democratic,EDU,EDU US,US,New Oriental Education & Technology,Buy,12/23/2020,8000,Com,17.15,466,16,8.1,#N/A,-6.71,-52.77,#N/A
Gilbert Cisneros,CA,Congress,Democratic,FB,FB US,US,Facebook Inc,Buy,12/23/2020,8000,Com A,268.11,28,290.63,332.29,#N/A,8.40,23.94,#N/A
Gilbert Cisneros,CA,Congress,Democratic,SHW,SHW US,US,Sherwin Williams Co,Buy,12/23/2020,8000,Com,241.48,32,241.98,273.1,#N/A,0.21,13.09,#N/A
Gilbert Cisneros,CA,Congress,Democratic,SPLK,SPLK US,US,Splunk Inc,Buy,12/23/2020,8000,Com,182.55,42,138.22,125.49,#N/A,-24.28,-31.26,#N/A
Gilbert Cisneros,CA,Congress,Democratic,STAG,STAG US,US,Stag Industrial Inc,Buy,12/23/2020,8000,Com,30.74,260,33.71,39.02,#N/A,9.66,26.94,#N/A
Mark Green,TN,Congress,Republican,AMZA,AMZA US,US,ETFis Series Trust I,Buy,12/23/2020,750000,Com,19.71,38050,22.6,30.09,#N/A,14.66,52.66,#N/A
Michael Mccaul,TX,Congress,Republican,MAS,MAS US,US,Masco Corp,Buy,12/23/2020,40501,Com,56.23,720,56.88,58.58,#N/A,1.16,4.18,#N/A
Charles Roberts,AR,Senate,Republican,AAPL,AAPL US,US,Apple Inc,Buy,12/22/2020,32500,Com NPV,131.88,246,123.39,132.3,#N/A,-6.44,0.32,#N/A
Charles Roberts,AR,Senate,Republican,BA,BA US,US,Boeing Co,Buy,12/22/2020,32500,Com,218.78,148,251.23,245.28,#N/A,14.83,12.11,#N/A
Charles Roberts,AR,Senate,Republican,COST,COST US,US,Costco Wholesale Corp,Buy,12/22/2020,32500,Com,362.03,88,334.49,386.8,#N/A,-7.61,6.84,#N/A
Charles Roberts,AR,Senate,Republican,PLUG,PLUG US,US,Plug Power Inc,Buy,12/22/2020,8000,Com,35.69,224,38.91,29.85,#N/A,9.02,-16.36,#N/A
Charles Roberts,AR,Senate,Republican,SQ,SQ US,US,Square Inc,Buy,12/22/2020,32500,Com A,241.58,134,226.13,233.89,#N/A,-6.40,-3.18,#N/A
Gilbert Cisneros,CA,Congress,Democratic,ABBV,ABBV US,US,Abbvie Inc,Buy,12/22/2020,8000,Com,102.8,76,105.9,114.73,#N/A,3.02,11.61,#N/A
Gilbert Cisneros,CA,Congress,Democratic,BKNG,BKNG US,US,Booking Holdings Inc,Buy,12/22/2020,8000,Com,2052.82,2,2231.89,2263.07,#N/A,8.72,10.24,#N/A
Gilbert Cisneros,CA,Congress,Democratic,FTDR,FTDR US,US,Frontdoor Inc,Buy,12/22/2020,8000,Com,50.28,158,56.28,50.34,#N/A,11.93,0.12,#N/A
Gilbert Cisneros,CA,Congress,Democratic,GE,GE US,US,General Electric Co,Buy,12/22/2020,8000,Com,84.88,94,105.04,105.52,#N/A,23.75,24.32,#N/A
Gilbert Cisneros,CA,Congress,Democratic,LUMN,LUMN US,US,Lumen Technologies Inc,Buy,12/22/2020,8000,Com,9.78,816,14.37,14.12,#N/A,46.93,44.38,#N/A
Gilbert Cisneros,CA,Congress,Democratic,REGN,REGN US,US,Regeneron Pharmaceuticals Inc,Buy,12/22/2020,8000,Com,490.06,16,483.22,534.27,#N/A,-1.40,9.02,#N/A
Gilbert Cisneros,CA,Congress,Democratic,RTX,RTX US,US,Raytheon Technologies Corp,Buy,12/22/2020,8000,Com,69.25,114,76.92,88,#N/A,11.08,27.08,#N/A
Gilbert Cisneros,CA,Congress,Democratic,TSLA,TSLA US,US,Tesla Inc,Buy,12/22/2020,75000,Com,640.34,116,670,620.83,#N/A,4.63,-3.05,#N/A
Gilbert Cisneros,CA,Congress,Democratic,WFC,WFC US,US,Wells Fargo & Co,Buy,12/22/2020,8000,Com,28.96,276,38.97,43.28,#N/A,34.56,49.45,#N/A
John Rutherford,FL,Congress,Republican,SGO,SGO FP,FP,Compagnie De St-Gobain,Buy,12/22/2020,8000,DR,0.23,34782,0.2,0.26,#N/A,-13.04,13.04,#N/A
Michael Mccaul,TX,Congress,Republican,DLTR,DLTR US,US,Dollar Tree Inc,Buy,12/22/2020,16001,Com,108.98,146,110.25,101.19,#N/A,1.17,-7.15,#N/A
Michael Mccaul,TX,Congress,Republican,NFG,NFG US,US,National Fuel Gas Co,Buy,12/22/2020,40501,Com,42,964,48.65,52.48,#N/A,15.83,24.95,#N/A
Michael Mccaul,TX,Congress,Republican,TRN,TRN US,US,Trinity Industries Inc,Buy,12/22/2020,16001,Com,26.5,602,28.05,27.05,#N/A,5.85,2.08,#N/A
Patrick Toomey,PA,Senate,Republican,SHOP,SHOP US,US,Shopify Inc,Buy,12/22/2020,8000,Com A NPV,1277.08,6,1160,1480.23,#N/A,-9.17,15.91,#N/A
Susie Lee,NV,Congress,Democratic,AMRC,AMRC US,US,Ameresco Inc,Buy,12/22/2020,8000,Com A NPV,53.22,150,45.01,62.24,#N/A,-15.43,16.95,#N/A
Susie Lee,NV,Congress,Democratic,MSCI,MSCI US,US,MSCI Inc,Buy,12/22/2020,8000,Com,437.58,18,419.36,515.59,#N/A,-4.16,17.83,#N/A
Susie Lee,NV,Congress,Democratic,TTEK,TTEK US,US,Tetra Tech Inc,Buy,12/22/2020,8000,Com,115.65,68,130.17,119,#N/A,12.56,2.90,#N/A
Virginia Foxx,NC,Congress,Republican,OLP,OLP US,US,One Liberty Properties Inc,Buy,12/22/2020,32500,Com,19.21,1690,22.82,28.81,#N/A,18.79,49.97,#N/A
Charles Roberts,AR,Senate,Republican,BA,BA US,US,Boeing Co,Buy,12/21/2020,32500,Com,219.31,148,251.23,245.28,#N/A,14.55,11.84,#N/A
Charles Roberts,AR,Senate,Republican,EXPI,EXPI US,US,Exp World Holdings Inc,Buy,12/21/2020,8000,Com,39.85,200,51.19,35.34,#N/A,28.46,-11.32,#N/A
Charles Roberts,AR,Senate,Republican,NVDA,NVDA US,US,NVIDIA Corp,Buy,12/21/2020,75000,Com,133.32,562,131.86,184.27,#N/A,-1.10,38.22,#N/A
Christopher Jacobs,NY,Congress,Republican,LBRDA,LBRDA US,US,Liberty Broadband Corp,Buy,12/21/2020,8000,Com A,156.26,50,150.37,158.2,#N/A,-3.77,1.24,#N/A
David Roe,TN,Congress,Republican,HIG,HIG US,US,Hartford Financial Services Group Inc,Buy,12/21/2020,8000,Com,47.5,168,67.29,62.15,#N/A,41.66,30.84,#N/A
