REP_FULLNAME,REP_STATE,REP_TYPE,REP_PARTY,COMPANY_TICKER,COMPANY_CODE,COMPANY_COUNTRY,COMPANY_NAME,TRANSACTION_TYPE,TRANSACTION_DATE,TRANSACTION_PRICE,SHARE_TYPE,TRANSACTION_SHARE_PRICE,TRANSACTION_SHARE_QUANTITY,SHARE_PRICE_3_MONTH,SHARE_PRICE_6_MONTH,SHARE_PRICE_1_YEAR,PERCENT_CHANGE_3_MONTH,PERCENT_CHANGE_6_MONTH,PERCENT_CHANGE_12_MONTH,,,
Kathy Manning,NC,Congress,Democratic,CAT,CAT US,US,Caterpillar Inc,Buy,4/30/2021,8000,Com,228.11,34,212.56,196.13,#N/A,-6.82,-14.02,#N/A,,,
Kathy Manning,NC,Congress,Democratic,CNC,CNC US,US,Centene Corp,Buy,4/30/2021,8000,Com,61.74,128,69.08,70.55,#N/A,11.89,14.27,#N/A,,,
Kathy Manning,NC,Congress,Democratic,LRCX,LRCX US,US,Lam Research Corp,Buy,4/30/2021,40501,Com,620.45,64,619.63,553.62,#N/A,-0.13,-10.77,#N/A,,,
Marie Newman,IL,Congress,Democratic,TSLA,TSLA US,US,Tesla Inc,Buy,4/30/2021,75000,Com,709.44,104,677.35,1037.86,#N/A,-4.52,46.29,#N/A,,,
Michael Mccaul,TX,Congress,Republican,AMZN,AMZN US,US,Amazon Com Inc,Buy,4/30/2021,65001,Com,3467.42,18,3599.92,3392.49,#N/A,3.82,-2.16,#N/A,,,
Michael Mccaul,TX,Congress,Republican,VITSX,VITSX US,US,Vanguard Total Stock Market Index Fund Institutional Shares,Buy,4/30/2021,75000,Stock Unit,105.68,708,110.99,113.91,#N/A,5.02,7.79,#N/A,,,
Rohit Khanna,CA,Congress,Democratic,DE,DE US,US,Deere & Co,Buy,4/30/2021,8000,Com,370.85,20,359.80,338.23,#N/A,-2.98,-8.80,#N/A,,,
Rohit Khanna,CA,Congress,Democratic,MRK,MRK US,US,Merck & Co Inc,Buy,4/30/2021,8000,Com,71.04,112,76.93,81.54,#N/A,8.29,14.78,#N/A,,,
Kathy Manning,NC,Congress,Democratic,MSFT,MSFT US,US,Microsoft Corp,Buy,4/30/2021,8000,Com,252.18,30,286.50,323.17,#N/A,13.61,28.15,#N/A,,,
Rohit Khanna,CA,Congress,Democratic,BRKB,BRKB US,US,Berkshire Hathaway Inc,Buy,4/30/2021,8000,Com B,1966,4,2316.50,2653.50,#N/A,17.83,34.97,#N/A,,,
